name,lat,lon,level,parent,source_name
関ケ原町,35.365523,136.466976,municipality,,関ケ原町役場
関川村,38.089412,139.564957,municipality,,関川村役場
関市,35.495777,136.917895,municipality,,関市役所
阪南市,34.359594,135.239656,municipality,,阪南市役所
防府市,34.051429,131.562782,municipality,,防府市役所
阿久根市,32.014364,130.192622,municipality,,阿久根市役所
阿久比町,34.932569,136.915512,municipality,,阿久比町役場
阿倍野区,34.638969,135.518499,municipality,,阿倍野区役所
阿南市,33.921762,134.659566,municipality,,阿南市役所
阿南町,35.32362,137.81609,municipality,,阿南町役場
阿智村,35.443791,137.747444,municipality,,阿智村役場
阿武町,34.503352,131.47136,municipality,,阿武町役場
阿波市,34.102138,134.297456,municipality,,阿波市役所
阿蘇市,32.952222,131.121389,municipality,,阿蘇市役所
阿見町,36.03087,140.214769,municipality,,阿見町役場
阿賀町,37.675487,139.458781,municipality,,阿賀町役場
阿賀野市,37.834509,139.226002,municipality,,阿賀野市役所
陸別町,43.468914,143.747305,municipality,,陸別町役場
陸前高田市,39.020413,141.633321,municipality,,陸前高田市役所
階上町,40.452454,141.621001,municipality,,階上町役場
隠岐の島町,36.213394,133.311818,municipality,,隠岐の島町役場
雄武町,44.582482,142.961863,municipality,,雄武町役場
雨竜町,43.643943,141.889036,municipality,,雨竜町役場
雫石町,39.696319,140.975779,municipality,,雫石町役場
雲仙市,32.835214,130.187508,municipality,,雲仙市役所
雲南市,35.307718,132.900345,municipality,,雲南市役所
霧島市,31.741015,130.763136,municipality,,霧島市役所
青ヶ島村,32.466537,139.763337,municipality,,青ヶ島村役場
青木村,36.369998,138.128698,municipality,,青木村役場
青梅市,35.788171,139.274994,municipality,,青梅市役所
青森南部町,40.420343,141.330307,ward,青森,南部町役場（青森）
青森市,40.82264,140.746957,municipality,,青森市役所
青森県,40.82444,140.740005,prefecture,,青森県庁
静岡市,34.975473,138.382388,municipality,,静岡市役所
静岡森町,34.835601,137.927088,ward,静岡,森町役場（静岡）
静岡清水町,35.099015,138.90272,ward,静岡,清水町役場（静岡）
静岡県,34.976944,138.383056,prefecture,,静岡県庁
鞍手町,33.792895,130.692426,municipality,,鞍手町役場
韮崎市,35.708804,138.446192,municipality,,韮崎市役所
音威子府村,44.725096,142.262458,municipality,,音威子府村役場
音更町,42.994115,143.197869,municipality,,音更町役場
須坂市,36.651117,138.307275,municipality,,須坂市役所
須崎市,33.400745,133.282959,municipality,,須崎市役所
須恵町,33.587268,130.507234,municipality,,須恵町役場
須磨区,34.658634,135.133702,municipality,,須磨区役所
須賀川市,37.286504,140.372655,municipality,,須賀川市役所
風間浦村,41.487487,140.995534,municipality,,風間浦村役場
飛島村,35.078804,136.791157,municipality,,飛島村役場
飛騨市,36.238144,137.186246,municipality,,飛騨市役所
飯南町,35.00004,132.713872,municipality,,飯南町役場
飯塚市,33.646083,130.691422,municipality,,飯塚市役所
飯山市,36.851745,138.365498,municipality,,飯山市役所
飯島町,35.676622,137.919523,municipality,,飯島町役場
飯田市,35.514703,137.821824,municipality,,飯田市役所
飯綱町,36.754464,138.235431,municipality,,飯綱町役場
飯能市,35.85576,139.327791,municipality,,飯能市役所
飯舘村,37.678947,140.735091,municipality,,飯舘村役場
飯豊町,38.045714,139.987617,municipality,,飯豊町役場
養父市,35.40464,134.767668,municipality,,養父市役所
養老町,35.308411,136.561359,municipality,,養老町役場
館山市,34.996608,139.870085,municipality,,館山市役所
館林市,36.244841,139.542057,municipality,,館林市役所
香南市,33.564362,133.700788,municipality,,香南市役所
香取市,35.89773,140.499248,municipality,,香取市役所
香川県,34.340088,134.043224,prefecture,,香川県庁
